151.74,303.85,279.18,263.93,-89.985,118.27,-33.836,-9.1659,6.084,62.927
262.7,301.37,275.38,260.17,-97.299,0,-38.665,-12.678,2.527,57.668
251.18,296.41,269.14,253.79,-108.82,0,-45.229,-17.962,-2.6104,56.79
82.36,96.194,30.759,10.963,0,-82.36,-96.194,-30.759,-10.963,57.565
273.2,20.988,305.09,282.35,-86.802,0,-107.79,-31.889,-9.1513,59.34
248.81,295.88,270.36,255.45,-111.19,0,-47.068,-21.547,-6.6346,43.648
304.69,275.39,259.3,230.75,-89.932,-34.626,-5.3234,10.768,39.321,82.943
314.01,290.67,278.85,257.12,-77.798,-31.807,-8.4659,3.3494,25.081,78.225
35.039,311.84,288.69,235.6,-80.821,-115.86,-32.665,-9.5076,43.578,59.146
310.91,286.03,268.61,245.12,-80.849,-31.756,-6.8818,10.541,34.029,76.62
-0,52.854,27.868,322.49,-0,0,-52.854,-27.868,37.512,46.617
-0,53.468,27.57,326.48,-0,0,-53.468,-27.57,33.521,44.638
-0,77.828,49.411,335.13,-0,0,-77.828,-49.411,24.866,29.623
14.374,307.14,286.14,264.34,-86.45,-100.82,-33.594,-12.593,9.2116,62.023
10.819,308.41,288.7,241.61,-83.425,-94.243,-31.838,-12.124,34.962,64.18
