301.07,279.58,216.21,84.601,-68.741,-9.8091,11.679,75.047,206.66
336.45,155.22,165.56,0,-8.556,14.989,196.22,185.89,0
335.95,304.2,158.61,167.29,-8.3318,15.717,47.468,193.06,184.38
293.78,271.19,207.63,94.775,-74.266,-8.0412,14.541,78.106,190.96
318.6,300.64,227.33,100.45,-61.256,-19.856,-1.9008,71.414,198.29
307.23,286.8,217.55,88.64,-70.001,-17.228,3.2033,72.454,201.36
333.41,301.47,267.97,160.8,-11.132,15.458,47.393,80.901,188.07
334.28,303.28,167.4,165.84,-9.9178,15.802,46.799,182.68,184.24
322.62,302.79,230.12,106.23,-58.039,-20.658,-0.82977,71.841,195.73
332.4,315.26,231.95,114.63,-48.72,-21.118,-3.9826,79.334,196.65
287.34,259.29,190.44,91.336,-86.27,-13.61,14.435,83.294,182.39
297.04,334.82,155.32,285.69,-10.386,52.576,14.795,194.3,63.925
307.84,336.81,161.29,281.22,-10.877,41.282,12.316,187.83,67.905
331.71,299.59,266.19,164.47,-9.7609,18.533,50.648,84.052,185.77
329.55,293.86,260.2,162.95,-9.3156,21.131,56.825,90.489,187.73
